Product Description,Frame,SHGC,U-VALUE
E RANGE Armourplate Solar E TOUGHENED SAFETY GLASS ,Aluminium/Steel,0.51,5.73
E RANGE Intruderpufe Low E LAMINATED SAFETY GLASS ,Aluminium/Steel,0.66,5.73
E RANGE Intruderpufe Solar E LAMINATED SAFETY GLASS ,Aluminium/Steel,0.51,5.73
E RANGE Aquamarine Low E LAMINATED SAFETY GLASS ,Aluminium/Steel,0.64,5.73
E RANGE Deep Aquamarine Low E LAMINATED SAFETY GLASS ,Aluminium/Steel,0.56,5.73
E RANGE Cool Blue Low E LAMINATED SAFETY GLASS ,Aluminium/Steel,0.66,5.73
E RANGE Deep Cool Blue Low E LAMINATED SAFETY GLASS ,Aluminium/Steel,0.6,5.73
E RANGE Cool Bronze Low E LAMINATED SAFETY GLASS ,Aluminium/Steel,0.57,5.73
E RANGE Deep Cool Bronze Low E LAMINATED SAFETY GLASS ,Aluminium/Steel,0.46,5.73
E RANGE Cool Grey Low E LAMINATED SAFETY GLASS ,Aluminium/Steel,0.55,5.73
E RANGE Deep Cool Grey Low E LAMINATED SAFETY GLASS ,Aluminium/Steel,0.43,5.73
E RANGE Regal Blue Low E LAMINATED SAFETY GLASS ,Aluminium/Steel,0.61,5.73
E RANGE Deep Regal Blue Low E LAMINATED SAFETY GLASS ,Aluminium/Steel,0.51,5.73
E RANGE Serene Green Low E LAMINATED SAFETY GLASS ,Aluminium/Steel,0.5,5.73
E RANGE Coolvue Clear Low E LAMINATED SAFETY GLASS ,Aluminium/Steel,0.43,5.73
E RANGE Coolvue Regal Blue Low E LAMINATED SAFETY GLASS ,Aluminium/Steel,0.35,5.73
E RANGE Coolvue Grey Low E LAMINATED SAFETY GLASS ,Aluminium/Steel,0.3,5.73
E RANGE SOLARVUE Aquamarine HL ,Aluminium/Steel,0.41,5.73
E RANGE SOLARVUE Aquamarine XHL ,Aluminium/Steel,0.47,5.73
E RANGE SOLARVUE Blue HL ,Aluminium/Steel,0.42,5.73
E RANGE SOLARVUE Blue XHL ,Aluminium/Steel,0.47,5.73
E RANGE SOLARVUE Bronze HL ,Aluminium/Steel,0.37,5.73
E RANGE SOLARVUE Bronze XHL ,Aluminium/Steel,0.4,5.73
E RANGE SOLARVUE Grey HL ,Aluminium/Steel,0.35,5.73
E RANGE SOLARVUE Grey XHL ,Aluminium/Steel,0.4,5.73
E RANGE SOLARVUE Neutral HL ,Aluminium/Steel,0.45,5.73
E RANGE SOLARVUE Neutral XHL ,Aluminium/Steel,0.51,5.73
E RANGE SOLARVUE Neutral SHL ,Aluminium/Steel,0.57,5.73
E RANGE SOLARVUE Neutral MHL ,Aluminium/Steel,0.6,5.73
E RANGE SOLARVUE Regal Blue HL ,Aluminium/Steel,0.4,5.73
E RANGE SOLARVUE Regal Blue XHL ,Aluminium/Steel,0.45,5.73
E RANGE SOLARVUE Serene Green HL ,Aluminium/Steel,0.37,5.73
E RANGE SOLARVUE Serene Green XHL ,Aluminium/Steel,0.44,5.73
E RANGE SOLARVUE Serene Green SHL ,Aluminium/Steel,0.46,5.73
E RANGE SOLARVUE Serene Green MHL ,Aluminium/Steel,0.5,5.73
E RANGE SOLARSHIELD Aquamarine S10 ,Aluminium/Steel,0.2,5.73
E RANGE SOLARSHIELD Aquamarine S20 ,Aluminium/Steel,0.28,5.73
E RANGE SOLARSHIELD Aquamarine S30 ,Aluminium/Steel,0.36,5.73
E RANGE SOLARSHIELD Blue S10 ,Aluminium/Steel,0.2,5.73
E RANGE SOLARSHIELD Blue S20 ,Aluminium/Steel,0.28,5.73
E RANGE SOLARSHIELD Blue S30 ,Aluminium/Steel,0.36,5.73
E RANGE SOLARSHIELD Bronze S10 ,Aluminium/Steel,0.21,5.73
E RANGE SOLARSHIELD Bronze S20 ,Aluminium/Steel,0.26,5.73
E RANGE SOLARSHIELD Bronze S30 ,Aluminium/Steel,0.33,5.73
E RANGE SOLARSHIELD Grey S10 ,Aluminium/Steel,0.2,5.73
E RANGE SOLARSHIELD Grey S20 ,Aluminium/Steel,0.26,5.73
E RANGE SOLARSHIELD Grey S30 ,Aluminium/Steel,0.31,5.73
E RANGE SOLARSHIELD Regal Blue S10 ,Aluminium/Steel,0.2,5.73
E RANGE SOLARSHIELD Regal Blue S20 ,Aluminium/Steel,0.27,5.73
E RANGE SOLARSHIELD Regal Blue S30 ,Aluminium/Steel,0.35,5.73
E RANGE SOLARSHIELD Silver S10 ,Aluminium/Steel,0.18,5.73
E RANGE SOLARSHIELD Silver S20 ,Aluminium/Steel,0.29,5.73
E RANGE SOLARSHIELD Silver S30 ,Aluminium/Steel,0.37,5.73
E RANGE SOLARSHIELDSerene Green S10 ,Aluminium/Steel,0.2,5.73
E RANGE SOLARSHIELDSerene Green S20 ,Aluminium/Steel,0.26,5.73
E RANGE SOLARSHIELDSerene Green S30 ,Aluminium/Steel,0.35,5.73
E RANGE ENER-G SMARTNeutral,Aluminium/Steel,0.38,5.73
E RANGE ENER-G SMARTAquamarine,Aluminium/Steel,0.35,5.73
E RANGE ENER-G SMARTBlue,Aluminium/Steel,0.35,5.73
E RANGE ENER-G SMARTBronze,Aluminium/Steel,0.3,5.73
E RANGE ENER-G SMARTGrey,Aluminium/Steel,0.31,5.73
E RANGE ENER-G SMARTregal Blue,Aluminium/Steel,0.33,5.73
E RANGE ENER-G SMARTSerene Green,Aluminium/Steel,0.28,5.73
X2 RESIDENTIAL STANDARD,Aluminium/Steel,0.66,4.23
X2 Intruderprufe & Intruderprufe Clear PVB,Aluminium/Steel,0.66,4.23
X2 Aquamarine  ColourVue & ClearVue,Aluminium/Steel,0.59,4.23
X2 Deep Aquamarine ColourVue & ClearVue,Aluminium/Steel,0.48,4.23
X2 Coolblue  ColourVue & ClearVue,Aluminium/Steel,0.59,4.23
X2 Deep Coolblue  ColourVue & ClearVue,Aluminium/Steel,0.57,4.23
X2 Coolbronze  ColourVue & ClearVue,Aluminium/Steel,0.5,4.23
X2 Deep Coolbronze  ColourVue & ClearVue,Aluminium/Steel,0.38,4.23
X2 Coolgrey  ColourVue & ClearVue,Aluminium/Steel,0.48,4.23
X2 Deep Coolgrey  ColourVue & ClearVue,Aluminium/Steel,0.37,4.23
X2 Coral Rose Red  ColourVue & ClearVue,Aluminium/Steel,0.59,4.23
X2 Deep Red  ColourVue & ClearVue,Aluminium/Steel,0.38,4.23
X2 Evening Shadow Black  ColourVue & ClearVue,Aluminium/Steel,0.5,4.23
X2 Regal Blue  ColourVue & ClearVue,Aluminium/Steel,0.55,4.23
X2 Deep Regal Blue  ColourVue & ClearVue,Aluminium/Steel,0.49,4.23
X2 Ruby Red  ColourVue & ClearVue,Aluminium/Steel,0.59,4.23
X2 Sahara Sun Yellow  ColourVue & ClearVue,Aluminium/Steel,0.59,4.23
X2 Sapphire Blue  ColourVue & ClearVue,Aluminium/Steel,0.54,4.23
X2 Shadowlight 50  ColourVue & ClearVue,Aluminium/Steel,0.51,4.23
X2 Shadowlight 25  ColourVue & ClearVue,Aluminium/Steel,0.37,4.23
X2 Shadowlight 10  ColourVue & ClearVue,Aluminium/Steel,0.24,4.23
X2 True Blue  ColourVue & ClearVue,Aluminium/Steel,0.42,4.23
X2 Serene Green  ColourVue & ClearVue,Aluminium/Steel,0.48,4.23
X2 Deep Serene Green ColourVue & ClearVue,Aluminium/Steel,0.39,4.23
X2 Clear CoolVue & ClearVue,Aluminium/Steel,0.38,4.23
X2 Grey CoolVue & ClearVue,Aluminium/Steel,0.26,4.23
X2 Regal Blue CoolVue & ClearVue,Aluminium/Steel,0.3,4.23
X2 Serene Green CoolVue & ClearVue,Aluminium/Steel,0.32,4.23
X2 Aquamarine HL SolarVue & ClearVue,Aluminium/Steel,0.35,4.23
X2 Aquamarine XHL SolarVue & ClearVue,Aluminium/Steel,0.41,4.23
X2 Blue HL SolarVue & ClearVue,Aluminium/Steel,0.36,4.23
X2 Blue XHL SolarVue & ClearVue,Aluminium/Steel,0.42,4.23
X2 Bronze HL SolarVue & ClearVue,Aluminium/Steel,0.31,4.23
X2 Bronze XHL SolarVue & ClearVue,Aluminium/Steel,0.35,4.23
X2 Grey HL SolarVue & ClearVue,Aluminium/Steel,0.3,4.23
X2 Grey XHL SolarVue & ClearVue,Aluminium/Steel,0.34,4.23
X2 Regal Blue HL SolarVue & ClearVue,Aluminium/Steel,0.35,4.23
X2 Regal Blue XHL SolarVue & ClearVue,Aluminium/Steel,0.4,4.23
X2 Neutral HL SolarVue & ClearVue,Aluminium/Steel,0.39,4.23
X2 Neutral XHL SolarVue & ClearVue,Aluminium/Steel,0.45,4.23
X2 Neutral SHL SolarVue & ClearVue,Aluminium/Steel,0.51,4.23
X2 Neutral MHL SolarVue & ClearVue,Aluminium/Steel,0.55,4.23
X2 Serene Green HL Solarvue & Clearvue,Aluminium/Steel,0.32,4.23
X2 Serene Green XHL Solarvue & Clearvue,Aluminium/Steel,0.37,4.23
X2 Serene Green SHL Solarvue & Clearvue,Aluminium/Steel,0.4,4.23
X2 Serene Green MHL Solarvue & Clearvue,Aluminium/Steel,0.44,4.23
X2 Aquamarine S10 Solarshield & ClearVue,Aluminium/Steel,0.16,4.23
X2 Aquamarine S20 Solarshield & ClearVue,Aluminium/Steel,0.23,4.23
X2 Aquamarine S30 Solarshield & ClearVue,Aluminium/Steel,0.3,4.23
