Product Description,Frame,SHGC,U-VALUE
SOLARSHIELD Bronze S20 ,Primador 30.5 mm single glaze casement,0.32,6.34
SOLARSHIELD Bronze S30 ,Primador 30.5 mm single glaze casement,0.38,6.34
SOLARSHIELD Grey S10 ,Primador 30.5 mm single glaze casement,0.26,6.34
SOLARSHIELD Grey S20 ,Primador 30.5 mm single glaze casement,0.32,6.34
SOLARSHIELD Grey S30 ,Primador 30.5 mm single glaze casement,0.37,6.34
SOLARSHIELD Regal Blue S10 ,Primador 30.5 mm single glaze casement,0.25,6.34
SOLARSHIELD Regal Blue S20 ,Primador 30.5 mm single glaze casement,0.32,6.34
SOLARSHIELD Regal Blue S30 ,Primador 30.5 mm single glaze casement,0.4,6.34
SOLARSHIELD Silver S10 ,Primador 30.5 mm single glaze casement,0.23,6.34
SOLARSHIELD Silver S20 ,Primador 30.5 mm single glaze casement,0.34,6.34
SOLARSHIELD Silver S30 ,Primador 30.5 mm single glaze casement,0.42,6.34
SOLARSHIELDSerene Green S10 ,Primador 30.5 mm single glaze casement,0.26,6.34
SOLARSHIELDSerene Green S20 ,Primador 30.5 mm single glaze casement,0.33,6.34
SOLARSHIELDSerene Green S30 ,Primador 30.5 mm single glaze casement,0.4,6.34
E RANGE Armourplate Low E TOUGHENED SAFETY GLASS ,Primador 30.5 mm single glaze casement,0.66,5
E RANGE Armourplate Solar E TOUGHENED SAFETY GLASS ,Primador 30.5 mm single glaze casement,0.51,5
E RANGE Intruderpufe Low E LAMINATED SAFETY GLASS ,Primador 30.5 mm single glaze casement,0.66,5
E RANGE Intruderpufe Solar E LAMINATED SAFETY GLASS ,Primador 30.5 mm single glaze casement,0.51,5
E RANGE Aquamarine Low E LAMINATED SAFETY GLASS ,Primador 30.5 mm single glaze casement,0.64,5
E RANGE Deep Aquamarine Low E LAMINATED SAFETY GLASS ,Primador 30.5 mm single glaze casement,0.56,5
E RANGE Cool Blue Low E LAMINATED SAFETY GLASS ,Primador 30.5 mm single glaze casement,0.66,5
E RANGE Deep Cool Blue Low E LAMINATED SAFETY GLASS ,Primador 30.5 mm single glaze casement,0.6,5
E RANGE Cool Bronze Low E LAMINATED SAFETY GLASS ,Primador 30.5 mm single glaze casement,0.57,5
E RANGE Deep Cool Bronze Low E LAMINATED SAFETY GLASS ,Primador 30.5 mm single glaze casement,0.46,5
E RANGE Cool Grey Low E LAMINATED SAFETY GLASS ,Primador 30.5 mm single glaze casement,0.55,5
E RANGE Deep Cool Grey Low E LAMINATED SAFETY GLASS ,Primador 30.5 mm single glaze casement,0.43,5
E RANGE Regal Blue Low E LAMINATED SAFETY GLASS ,Primador 30.5 mm single glaze casement,0.61,5
E RANGE Deep Regal Blue Low E LAMINATED SAFETY GLASS ,Primador 30.5 mm single glaze casement,0.51,5
E RANGE Serene Green Low E LAMINATED SAFETY GLASS ,Primador 30.5 mm single glaze casement,0.5,5
E RANGE Coolvue Clear Low E LAMINATED SAFETY GLASS ,Primador 30.5 mm single glaze casement,0.43,5
E RANGE Coolvue Regal Blue Low E LAMINATED SAFETY GLASS ,Primador 30.5 mm single glaze casement,0.35,5
E RANGE Coolvue Grey Low E LAMINATED SAFETY GLASS ,Primador 30.5 mm single glaze casement,0.3,5
E RANGE SOLARVUE Aquamarine HL ,Primador 30.5 mm single glaze casement,0.41,5
E RANGE SOLARVUE Aquamarine XHL ,Primador 30.5 mm single glaze casement,0.47,5
E RANGE SOLARVUE Blue HL ,Primador 30.5 mm single glaze casement,0.42,5
E RANGE SOLARVUE Blue XHL ,Primador 30.5 mm single glaze casement,0.47,5
E RANGE SOLARVUE Bronze HL ,Primador 30.5 mm single glaze casement,0.37,5
E RANGE SOLARVUE Bronze XHL ,Primador 30.5 mm single glaze casement,0.4,5
E RANGE SOLARVUE Grey HL ,Primador 30.5 mm single glaze casement,0.35,5
E RANGE SOLARVUE Grey XHL ,Primador 30.5 mm single glaze casement,0.4,5
E RANGE SOLARVUE Neutral HL ,Primador 30.5 mm single glaze casement,0.45,5
E RANGE SOLARVUE Neutral XHL ,Primador 30.5 mm single glaze casement,0.51,5
E RANGE SOLARVUE Neutral SHL ,Primador 30.5 mm single glaze casement,0.57,5
E RANGE SOLARVUE Neutral MHL ,Primador 30.5 mm single glaze casement,0.6,5
E RANGE SOLARVUE Regal Blue HL ,Primador 30.5 mm single glaze casement,0.4,5
E RANGE SOLARVUE Regal Blue XHL ,Primador 30.5 mm single glaze casement,0.45,5
E RANGE SOLARVUE Serene Green HL ,Primador 30.5 mm single glaze casement,0.37,5
E RANGE SOLARVUE Serene Green XHL ,Primador 30.5 mm single glaze casement,0.44,5
E RANGE SOLARVUE Serene Green SHL ,Primador 30.5 mm single glaze casement,0.46,5
E RANGE SOLARVUE Serene Green MHL ,Primador 30.5 mm single glaze casement,0.5,5
E RANGE SOLARSHIELD Aquamarine S10 ,Primador 30.5 mm single glaze casement,0.2,5
E RANGE SOLARSHIELD Aquamarine S20 ,Primador 30.5 mm single glaze casement,0.28,5
E RANGE SOLARSHIELD Aquamarine S30 ,Primador 30.5 mm single glaze casement,0.36,5
E RANGE SOLARSHIELD Blue S10 ,Primador 30.5 mm single glaze casement,0.2,5
E RANGE SOLARSHIELD Blue S20 ,Primador 30.5 mm single glaze casement,0.28,5
E RANGE SOLARSHIELD Blue S30 ,Primador 30.5 mm single glaze casement,0.36,5
E RANGE SOLARSHIELD Bronze S10 ,Primador 30.5 mm single glaze casement,0.21,5
E RANGE SOLARSHIELD Bronze S20 ,Primador 30.5 mm single glaze casement,0.26,5
E RANGE SOLARSHIELD Bronze S30 ,Primador 30.5 mm single glaze casement,0.33,5
E RANGE SOLARSHIELD Grey S10 ,Primador 30.5 mm single glaze casement,0.2,5
E RANGE SOLARSHIELD Grey S20 ,Primador 30.5 mm single glaze casement,0.26,5
E RANGE SOLARSHIELD Grey S30 ,Primador 30.5 mm single glaze casement,0.31,5
E RANGE SOLARSHIELD Regal Blue S10 ,Primador 30.5 mm single glaze casement,0.2,5
E RANGE SOLARSHIELD Regal Blue S20 ,Primador 30.5 mm single glaze casement,0.27,5
E RANGE SOLARSHIELD Regal Blue S30 ,Primador 30.5 mm single glaze casement,0.35,5
E RANGE SOLARSHIELD Silver S10 ,Primador 30.5 mm single glaze casement,0.18,5
E RANGE SOLARSHIELD Silver S20 ,Primador 30.5 mm single glaze casement,0.29,5
E RANGE SOLARSHIELD Silver S30 ,Primador 30.5 mm single glaze casement,0.37,5
E RANGE SOLARSHIELDSerene Green S10 ,Primador 30.5 mm single glaze casement,0.2,5
E RANGE SOLARSHIELDSerene Green S20 ,Primador 30.5 mm single glaze casement,0.26,5
E RANGE SOLARSHIELDSerene Green S30 ,Primador 30.5 mm single glaze casement,0.35,5
E RANGE ENER-G SMARTNeutral,Primador 30.5 mm single glaze casement,0.38,5
E RANGE ENER-G SMARTAquamarine,Primador 30.5 mm single glaze casement,0.35,5
E RANGE ENER-G SMARTBlue,Primador 30.5 mm single glaze casement,0.35,5
E RANGE ENER-G SMARTBronze,Primador 30.5 mm single glaze casement,0.3,5
E RANGE ENER-G SMARTGrey,Primador 30.5 mm single glaze casement,0.31,5
E RANGE ENER-G SMARTregal Blue,Primador 30.5 mm single glaze casement,0.33,5
E RANGE ENER-G SMARTSerene Green,Primador 30.5 mm single glaze casement,0.28,5
X2 RESIDENTIAL STANDARD,Primador 30.5 mm single glaze casement,0,0
X2 Intruderprufe & Intruderprufe Clear PVB,Primador 30.5 mm single glaze casement,0.66,0
X2 Aquamarine  ColourVue & ClearVue,Primador 30.5 mm single glaze casement,0.59,0
X2 Deep Aquamarine ColourVue & ClearVue,Primador 30.5 mm single glaze casement,0.48,0
X2 Coolblue  ColourVue & ClearVue,Primador 30.5 mm single glaze casement,0.59,0
X2 Deep Coolblue  ColourVue & ClearVue,Primador 30.5 mm single glaze casement,0.57,0
X2 Coolbronze  ColourVue & ClearVue,Primador 30.5 mm single glaze casement,0.5,0
X2 Deep Coolbronze  ColourVue & ClearVue,Primador 30.5 mm single glaze casement,0.38,0
X2 Coolgrey  ColourVue & ClearVue,Primador 30.5 mm single glaze casement,0.48,0
X2 Deep Coolgrey  ColourVue & ClearVue,Primador 30.5 mm single glaze casement,0.37,0
X2 Coral Rose Red  ColourVue & ClearVue,Primador 30.5 mm single glaze casement,0.59,0
X2 Deep Red  ColourVue & ClearVue,Primador 30.5 mm single glaze casement,0.38,0
X2 Evening Shadow Black  ColourVue & ClearVue,Primador 30.5 mm single glaze casement,0.5,0
X2 Regal Blue  ColourVue & ClearVue,Primador 30.5 mm single glaze casement,0.55,0
X2 Deep Regal Blue  ColourVue & ClearVue,Primador 30.5 mm single glaze casement,0.49,0
X2 Ruby Red  ColourVue & ClearVue,Primador 30.5 mm single glaze casement,0.59,0
X2 Sahara Sun Yellow  ColourVue & ClearVue,Primador 30.5 mm single glaze casement,0.59,0
X2 Sapphire Blue  ColourVue & ClearVue,Primador 30.5 mm single glaze casement,0.54,0
X2 Shadowlight 50  ColourVue & ClearVue,Primador 30.5 mm single glaze casement,0.51,0
X2 Shadowlight 25  ColourVue & ClearVue,Primador 30.5 mm single glaze casement,0.37,0
X2 Shadowlight 10  ColourVue & ClearVue,Primador 30.5 mm single glaze casement,0.24,0
X2 True Blue  ColourVue & ClearVue,Primador 30.5 mm single glaze casement,0.42,0
X2 Serene Green  ColourVue & ClearVue,Primador 30.5 mm single glaze casement,0.48,0
X2 Deep Serene Green ColourVue & ClearVue,Primador 30.5 mm single glaze casement,0.39,0
X2 Clear CoolVue & ClearVue,Primador 30.5 mm single glaze casement,0.38,0
X2 Grey CoolVue & ClearVue,Primador 30.5 mm single glaze casement,0.26,0
X2 Regal Blue CoolVue & ClearVue,Primador 30.5 mm single glaze casement,0.3,0
X2 Serene Green CoolVue & ClearVue,Primador 30.5 mm single glaze casement,0.32,0
X2 Aquamarine HL SolarVue & ClearVue,Primador 30.5 mm single glaze casement,0.35,0
X2 Aquamarine XHL SolarVue & ClearVue,Primador 30.5 mm single glaze casement,0.41,0
X2 Blue HL SolarVue & ClearVue,Primador 30.5 mm single glaze casement,0.36,0
X2 Blue XHL SolarVue & ClearVue,Primador 30.5 mm single glaze casement,0.42,0
X2 Bronze HL SolarVue & ClearVue,Primador 30.5 mm single glaze casement,0.31,0
X2 Bronze XHL SolarVue & ClearVue,Primador 30.5 mm single glaze casement,0.35,0
X2 Grey HL SolarVue & ClearVue,Primador 30.5 mm single glaze casement,0.3,0
X2 Grey XHL SolarVue & ClearVue,Primador 30.5 mm single glaze casement,0.34,0
X2 Regal Blue HL SolarVue & ClearVue,Primador 30.5 mm single glaze casement,0.35,0
X2 Regal Blue XHL SolarVue & ClearVue,Primador 30.5 mm single glaze casement,0.4,0
X2 Neutral HL SolarVue & ClearVue,Primador 30.5 mm single glaze casement,0.39,0
X2 Neutral XHL SolarVue & ClearVue,Primador 30.5 mm single glaze casement,0.45,0
X2 Neutral SHL SolarVue & ClearVue,Primador 30.5 mm single glaze casement,0.51,0
X2 Neutral MHL SolarVue & ClearVue,Primador 30.5 mm single glaze casement,0.55,0
X2 Serene Green HL Solarvue & Clearvue,Primador 30.5 mm single glaze casement,0.32,0
X2 Serene Green XHL Solarvue & Clearvue,Primador 30.5 mm single glaze casement,0.37,0
X2 Serene Green SHL Solarvue & Clearvue,Primador 30.5 mm single glaze casement,0.4,0
X2 Serene Green MHL Solarvue & Clearvue,Primador 30.5 mm single glaze casement,0.44,0
X2 Aquamarine S10 Solarshield & ClearVue,Primador 30.5 mm single glaze casement,0.16,0
X2 Aquamarine S20 Solarshield & ClearVue,Primador 30.5 mm single glaze casement,0.23,0
X2 Aquamarine S30 Solarshield & ClearVue,Primador 30.5 mm single glaze casement,0.3,0
X2 Blue S10 Solarshield & ClearVue,Primador 30.5 mm single glaze casement,0.16,0
X2 Blue S20 Solarshield & ClearVue,Primador 30.5 mm single glaze casement,0.24,0
X2 Blue S30 Solarshield & ClearVue,Primador 30.5 mm single glaze casement,0.31,0
X2 Bronze S10 Solarshield & ClearVue,Primador 30.5 mm single glaze casement,0.16,0
X2 Bronze S20 Solarshield & ClearVue,Primador 30.5 mm single glaze casement,0.22,0
X2 Bronze S30 Solarshield & ClearVue,Primador 30.5 mm single glaze casement,0.27,0
X2 Grey S10 Solarshield & ClearVue,Primador 30.5 mm single glaze casement,0.16,0
X2 Grey S20 Solarshield & ClearVue,Primador 30.5 mm single glaze casement,0.21,0
X2 Grey S30 Solarshield & ClearVue,Primador 30.5 mm single glaze casement,0.26,0
X2 Regal Blue S10 Solarshield & ClearVue,Primador 30.5 mm single glaze casement,0.16,0
X2 Regal Blue S20 Solarshield & ClearVue,Primador 30.5 mm single glaze casement,0.22,0
X2 Regal Blue S30 Solarshield & ClearVue,Primador 30.5 mm single glaze casement,0.29,0
X2 Silver S10 Solarshield & ClearVue,Primador 30.5 mm single glaze casement,0.15,0
X2 Silver S20 Solarshield & ClearVue,Primador 30.5 mm single glaze casement,0.25,0
X2 Silver S30 Solarshield & ClearVue,Primador 30.5 mm single glaze casement,0.32,0
X2 Serene Green S10 Solarshield & ClearVue,Primador 30.5 mm single glaze casement,0.17,0
X2 Serene Green S20 Solarshield & ClearVue,Primador 30.5 mm single glaze casement,0.23,0
X2 Serene Green S30 Solarshield & ClearVue,Primador 30.5 mm single glaze casement,0.29,0
X2 RESIDENTIAL PLUS,Primador 30.5 mm single glaze casement,0,0
X2 RESIDENTIAL ELITE,Primador 30.5 mm single glaze casement,0,0
X2 RESIDENTIAL SUPERIOR,Primador 30.5 mm single glaze casement,0,0
X2 Armourplate Low E & Clearvue,Primador 30.5 mm single glaze casement,0.64,0
X2 Armourplate Solar E & Clearvue,Primador 30.5 mm single glaze casement,0.43,0
X2 Intruderprufe Low E & Clearvue,Primador 30.5 mm single glaze casement,0.64,0
X2 Intruderprufe Solar E & Clearvue,Primador 30.5 mm single glaze casement,0.43,0
X2 Aquamarine  ColourVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.54,0
X2 Deep Aquamarine  ColourVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.42,0
X2 Coolblue  ColourVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.54,0
X2 Deep Coolblue  ColourVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.5,0
X2 Coolbronze  ColourVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.43,0
X2 Deep Coolbronze  ColourVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.32,0
X2 Coolgrey  ColourVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.42,0
X2 Deep Coolgrey  ColourVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.31,0
X2 Coral Rose Red  ColourVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.54,0
X2 Deep Red  ColourVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.32,0
X2 Evening Shadow Black  ColourVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.43,0
X2 Regal Blue  ColourVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.49,0
X2 Deep Regal Blue  ColourVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.43,0
X2 Ruby Red  ColourVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.53,0
X2 Sahara Sun Yellow  ColourVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.53,0
X2 Sapphire Blue  ColourVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.48,0
X2 Shadowlight 50  ColourVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.45,0
X2 Shadowlight 25  ColourVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.31,0
X2 Shadowlight 10  ColourVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.19,0
X2 True Blue  ColourVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.36,0
X2 Serene Green  ColourVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.42,0
X2 Deep Serene Green  ColourVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.33,0
X2 CoolVue Clear  & Intruderprufe low E,Primador 30.5 mm single glaze casement,0.34,0
X2 CoolVue Grey  & Intruderprufe low E,Primador 30.5 mm single glaze casement,0.21,0
X2 CoolVue Regal Blue  & Intruderprufe low E,Primador 30.5 mm single glaze casement,0.26,0
X2 CoolVue Serene Green & Intruderprufe low E,Primador 30.5 mm single glaze casement,0.27,0
X2 Aquamarine HL SolarVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.3,0
X2 Aquamarine XHL SolarVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.35,0
X2 Blue HL SolarVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.31,0
X2 Blue XHL SolarVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.36,0
X2 Bronze HL SolarVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.26,0
X2 Bronze XHL SolarVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.3,0
X2 Grey HL SolarVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.24,0
X2 Grey XHL SolarVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.28,0
X2 Neutral HL SolarVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.34,0
X2 Neutral XHL SolarVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.39,0
X2 Neutral SHL SolarVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.44,0
X2 Neutral MHL SolarVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.48,0
X2 Regal Blue HL SolarVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.29,0
X2 Regal Blue XHL SolarVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.34,0
X2 Serene Green HL SolarVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.26,0
X2 Serene Green XHL SolarVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.32,0
X2 Serene Green SHL SolarVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.34,0
X2 Serene Green MHL SolarVue & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.38,0
X2 Aquamarine S10 Solarshield & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.12,0
X2 Aquamarine S20 Solarshield & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.19,0
X2 Aquamarine S30 Solarshield & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.25,0
X2 Blue S10 Solarshield & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.12,0
X2 Blue S20 Solarshield & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.19,0
X2 Blue S30 Solarshield & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.25,0
X2 Bronze S10 Solarshield & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.12,0
X2 Bronze S20 Solarshield & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.17,0
X2 Bronze S30 Solarshield & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.22,0
X2 Grey S10 Solarshield & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.12,0
X2 Grey S20 Solarshield & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.16,0
X2 Grey S30 Solarshield & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.21,0
X2 Regal Blue S10 Solarshield & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.12,0
X2 Regal Blue S20 Solarshield & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.18,0
X2 Regal Blue S30 Solarshield & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.24,0
X2 Silver S10 Solarshield & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.12,0
X2 Silver S20 Solarshield & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.2,0
X2 Silver S30 Solarshield & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.27,0
X2 Serene Green S10 Solarshield & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.12,0
X2Serene Green S20 Solarshield & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.18,0
X2 Serene Green S30 Solarshield & Intruderprufe Low E,Primador 30.5 mm single glaze casement,0.23,0
X2 Ener-G Smart Neutral & Clear Float,Primador 30.5 mm single glaze casement,0.32,0
X2 Ener-G Smart Aquamarine & Clear Float,Primador 30.5 mm single glaze casement,0.28,0
X2 Ener-G Smart Blue & Clear Float,Primador 30.5 mm single glaze casement,0.29,0
X2 Ener-G Smart Bronze & Clear Float,Primador 30.5 mm single glaze casement,0.24,0
X2 Ener-G Smart Grey & Clear Float,Primador 30.5 mm single glaze casement,0.25,0
X2 Ener-G Smart Regal Blue & Clear Float,Primador 30.5 mm single glaze casement,0.27,0
X2 Ener-G Smart Serene Green & Clear Float,Primador 30.5 mm single glaze casement,0.22,0
4 mm ClearVue,Primador 38 mm double glaze casement,0.61,6.32
5 mm ClearVue,Primador 38 mm double glaze casement,0.61,6.32
6 mm ClearVue,Primador 38 mm double glaze casement,0.61,6.32
8 mm ClearVue,Primador 38 mm double glaze casement,0.61,6.32
10 mm ClearVue,Primador 38 mm double glaze casement,0.61,6.32
12 mm ClearVue,Primador 38 mm double glaze casement,0.61,6.32
15 mm ClearVue,Primador 38 mm double glaze casement,0.61,6.32
19 mm ClearVue ,Primador 38 mm double glaze casement,0.61,6.32
"6,38mm Intruderprufe Clear NS",Primador 38 mm double glaze casement,0.61,6.32
COLOURVUE Aquamarine  ,Primador 38 mm double glaze casement,0.61,6.32
COLOURVUE Deep Aquamarine  ,Primador 38 mm double glaze casement,0.59,6.32
COLOURVUE Coolblue  ,Primador 38 mm double glaze casement,0.61,6.32
COLOURVUE Deep Coolblue  ,Primador 38 mm double glaze casement,0.61,6.32
COLOURVUE Coolbronze  ,Primador 38 mm double glaze casement,0.61,6.32
COLOURVUE Deep Coolbronze  ,Primador 38 mm double glaze casement,0.5,6.32
COLOURVUE Coolgrey  ,Primador 38 mm double glaze casement,0.6,6.32
COLOURVUE Deep Coolgrey  ,Primador 38 mm double glaze casement,0.48,6.32
COLOURVUE Coral Rose Red  ,Primador 38 mm double glaze casement,0.61,6.32
COLOURVUE Dark Red  ,Primador 38 mm double glaze casement,0.49,6.32
COLOURVUE Evening Shadow Black  ,Primador 38 mm double glaze casement,0.61,6.32
COLOURVUE Regal Blue  ,Primador 38 mm double glaze casement,0.61,6.32
COLOURVUE Deep Regal Blue  ,Primador 38 mm double glaze casement,0.61,6.32
COLOURVUE Ruby Red  ,Primador 38 mm double glaze casement,0.61,6.32
COLOURVUE Sahara Sun Yellow  ,Primador 38 mm double glaze casement,0.61,6.32
COLOURVUE Sapphire Blue  ,Primador 38 mm double glaze casement,0.61,6.32
COLOURVUE Shadowlight 50  ,Primador 38 mm double glaze casement,0.61,6.32
COLOURVUE Shadowlight 25  ,Primador 38 mm double glaze casement,0.49,6.32
COLOURVUE Shadowlight 10  ,Primador 38 mm double glaze casement,0.36,6.32
COLOURVUE True Blue  ,Primador 38 mm double glaze casement,0.54,6.32
COLOURVUE Serene Green  ,Primador 38 mm double glaze casement,0.59,6.32
COLOURVUE Deep Serene Green  ,Primador 38 mm double glaze casement,0.5,6.32
COLOURVUE TRANSLUCENT Aquamarine Translucent  ,Primador 38 mm double glaze casement,0.5,6.32
COLOURVUE TRANSLUCENT Arctic Snow White  ,Primador 38 mm double glaze casement,0.61,6.32
COLOURVUE TRANSLUCENT Blue Translucent  ,Primador 38 mm double glaze casement,0.6,6.32
COLOURVUE TRANSLUCENT Regal Blue Translucent  ,Primador 38 mm double glaze casement,0.46,6.32
COLOURVUE TRANSLUCENT Bronze Translucent  ,Primador 38 mm double glaze casement,0.5,6.32
COLOURVUE TRANSLUCENT Grey Translucent  ,Primador 38 mm double glaze casement,0.5,6.32
COOLVUE CoolVue Clear  ,Primador 38 mm double glaze casement,0.47,6.32
COOLVUE CoolVue Regal Blue  ,Primador 38 mm double glaze casement,0.39,6.32
COOLVUE CoolVue Grey  ,Primador 38 mm double glaze casement,0.34,6.32
COOLVUE CoolVue Serene Green  ,Primador 38 mm double glaze casement,0.41,6.32
SOLARVUE Aquamarine HL ,Primador 38 mm double glaze casement,0.46,6.32
SOLARVUE Aquamarine XHL ,Primador 38 mm double glaze casement,0.52,6.32
SOLARVUE Blue HL ,Primador 38 mm double glaze casement,0.47,6.32
SOLARVUE Blue XHL ,Primador 38 mm double glaze casement,0.53,6.32
SOLARVUE Bronze HL ,Primador 38 mm double glaze casement,0.42,6.32
SOLARVUE Bronze XHL ,Primador 38 mm double glaze casement,0.46,6.32
SOLARVUE Grey HL ,Primador 38 mm double glaze casement,0.41,6.32
SOLARVUE Grey XHL ,Primador 38 mm double glaze casement,0.45,6.32
SOLARVUE Neutral HL ,Primador 38 mm double glaze casement,0.5,6.32
SOLARVUE Neutral XHL ,Primador 38 mm double glaze casement,0.56,6.32
SOLARVUE Neutral SHL ,Primador 38 mm double glaze casement,0.61,6.32
SOLARVUE Neutral MHL ,Primador 38 mm double glaze casement,0.61,6.32
SOLARVUE Regal Blue HL ,Primador 38 mm double glaze casement,0.45,6.32
SOLARVUE Regal Blue XHL ,Primador 38 mm double glaze casement,0.51,6.32
SOLARVUE Serene Green HL ,Primador 38 mm double glaze casement,0.43,6.32
SOLARSHIELD Aquamarine S10 ,Primador 38 mm double glaze casement,0.25,6.32
SOLARSHIELD Aquamarine S20 ,Primador 38 mm double glaze casement,0.33,6.32
SOLARSHIELD Aquamarine S30 ,Primador 38 mm double glaze casement,0.41,6.32
SOLARSHIELD Blue S10 ,Primador 38 mm double glaze casement,0.25,6.32
SOLARSHIELD Blue S20 ,Primador 38 mm double glaze casement,0.33,6.32
SOLARSHIELD Blue S30 ,Primador 38 mm double glaze casement,0.41,6.32
SOLARSHIELD Bronze S10 ,Primador 38 mm double glaze casement,0.26,6.32
SOLARSHIELD Bronze S20 ,Primador 38 mm double glaze casement,0.32,6.32
SOLARSHIELD Bronze S30 ,Primador 38 mm double glaze casement,0.38,6.32
SOLARSHIELD Grey S10 ,Primador 38 mm double glaze casement,0.26,6.32
SOLARSHIELD Grey S20 ,Primador 38 mm double glaze casement,0.32,6.32
SOLARSHIELD Grey S30 ,Primador 38 mm double glaze casement,0.37,6.32
SOLARSHIELD Regal Blue S10 ,Primador 38 mm double glaze casement,0.25,6.32
SOLARSHIELD Regal Blue S20 ,Primador 38 mm double glaze casement,0.32,6.32
SOLARSHIELD Regal Blue S30 ,Primador 38 mm double glaze casement,0.4,6.32
SOLARSHIELD Silver S10 ,Primador 38 mm double glaze casement,0.23,6.32
SOLARSHIELD Silver S20 ,Primador 38 mm double glaze casement,0.34,6.32
SOLARSHIELD Silver S30 ,Primador 38 mm double glaze casement,0.42,6.32
SOLARSHIELDSerene Green S10 ,Primador 38 mm double glaze casement,0.26,6.32
SOLARSHIELDSerene Green S20 ,Primador 38 mm double glaze casement,0.33,6.32
SOLARSHIELDSerene Green S30 ,Primador 38 mm double glaze casement,0.4,6.32
E RANGE Armourplate Low E TOUGHENED SAFETY GLASS ,Primador 38 mm double glaze casement,0.66,5.01
E RANGE Armourplate Solar E TOUGHENED SAFETY GLASS ,Primador 38 mm double glaze casement,0.51,5.01
E RANGE Intruderpufe Low E LAMINATED SAFETY GLASS ,Primador 38 mm double glaze casement,0.66,5.01
E RANGE Intruderpufe Solar E LAMINATED SAFETY GLASS ,Primador 38 mm double glaze casement,0.51,5.01
E RANGE Aquamarine Low E LAMINATED SAFETY GLASS ,Primador 38 mm double glaze casement,0.64,5.01
